creditscore,geography,gender,age,tenure,balance,numofproducts,has_credit_card,is_active_member,estimatedsalary,churn,complain,satisfaction_score,card_type,point_earned,age_group,tenure_group,high_balance_flag,engagement_score,low_satisfaction_flag,single_product_flag,salary_segment,risk_score,churn_probability,risk_segment
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,1,1,SILVER,730,Mid-Age,Established,1,2,1,1,Medium,2,0.2307777534830423,Low Risk
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,0,3,DIAMOND,960,Mid-Age,New,1,2,0,1,Medium,1,0.0014695971953074295,Low Risk
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0,1,SILVER,268,Mid-Age,New,1,2,1,0,High,2,0.00039228387402439826,Low Risk
698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0,4,SILVER,829,Mid-Age,Established,1,2,0,0,High,1,0.00655219779610275,Low Risk
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,0,3,SILVER,665,Mid-Age,Early,1,1,0,0,Medium,1,0.13604683567020925,Low Risk
788,France,Female,33,5,0.0,2,0,0,116978.19,0,0,3,GOLD,982,Mid-Age,Early,0,1,0,0,Medium,1,0.05913059257319528,Low Risk
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,1,3,SILVER,343,Mid-Age,Established,1,0,0,1,High,2,0.9999484826892333,High Risk
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,1,2,DIAMOND,225,Mid-Age,New,1,1,1,1,Low,3,0.9810876244266237,High Risk
619,France,Male,43,1,125211.92,1,1,1,113410.49,0,0,5,SILVER,657,Mid-Age,New,1,3,0,1,Medium,1,8.468497290000315e-05,Low Risk
656,France,Male,45,5,127864.4,1,1,0,87107.57,0,0,2,PLATINUM,221,Mid-Age,Early,1,2,1,1,Medium,3,0.000149433334644027,Low Risk
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,0,2,PLATINUM,406,Young,,0,1,1,1,Low,3,0.009111128286032298,Low Risk
511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,1,5,SILVER,549,Elder,Early,0,1,0,1,Low,2,0.9998512574587494,High Risk
614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0,4,PLATINUM,954,Senior,Early,0,3,0,1,Low,1,0.00017130894364532316,Low Risk
742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,0,4,GOLD,823,Mid-Age,Early,1,1,0,1,Medium,2,0.19030117906653557,Low Risk
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,0,5,DIAMOND,769,Young,Established,1,1,0,0,Medium,1,0.5774232000243296,Medium Risk
555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0,5,PLATINUM,481,Mid-Age,New,0,1,0,0,High,1,0.16108422327362248,Low Risk
684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0,4,SILVER,903,Senior,Established,0,3,0,1,Medium,1,0.0001566046340711565,Low Risk
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,0,3,PLATINUM,882,Young,Early,1,3,0,1,Medium,1,1.4068381301288475e-05,Low Risk
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,1,5,GOLD,379,Mid-Age,Established,1,2,0,0,Low,0,0.9809941365097875,High Risk
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,1,3,PLATINUM,469,Mid-Age,New,1,1,0,1,Medium,2,0.9976540224781846,High Risk
735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,1,3,PLATINUM,683,Mid-Age,Established,1,2,0,0,High,0,0.7686079243653694,High Risk
661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,1,1,GOLD,770,Mid-Age,Early,1,1,1,0,Medium,1,0.9603875612561837,High Risk
675,France,Female,21,8,98373.26,1,1,0,18203.0,0,0,5,SILVER,985,Young,Established,1,2,0,1,Low,2,0.004736502230033277,Low Risk
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,1,4,GOLD,725,Senior,New,1,1,0,0,Low,1,0.9999539794853264,High Risk
813,France,Male,29,6,0.0,1,1,0,33953.87,0,0,3,PLATINUM,259,Young,Established,0,2,0,1,Low,2,0.0004326167076528721,Low Risk
657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,0,2,GOLD,979,Mid-Age,,1,2,1,1,Low,2,0.00020370022024395804,Low Risk
604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,0,2,SILVER,988,Young,Early,1,3,1,0,Low,1,6.985023304141591e-06,Low Risk
519,France,Male,36,9,0.0,2,0,1,145562.4,0,0,2,PLATINUM,833,Mid-Age,Established,0,2,1,0,High,1,4.542354152862986e-05,Low Risk
735,France,Female,21,1,178718.19,2,1,0,22388.0,0,0,1,PLATINUM,527,Young,New,1,2,1,0,Low,2,9.622551869955414e-05,Low Risk
664,France,Male,55,8,0.0,2,1,1,139161.64,0,0,5,SILVER,220,Senior,Established,0,3,0,0,High,0,0.0006967019110598697,Low Risk
678,France,Female,32,9,0.0,1,1,1,148210.64,0,0,4,GOLD,983,Mid-Age,Established,0,3,0,1,High,1,1.9049594389258794e-05,Low Risk
757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0,3,SILVER,582,Mid-Age,Early,0,2,0,1,High,1,0.00031784111511737155,Low Risk
416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,0,3,SILVER,281,Mid-Age,Established,1,2,0,0,Medium,1,0.005487585978545736,Low Risk
665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0,3,DIAMOND,798,Mid-Age,New,0,1,0,0,High,1,0.12446857271981875,Low Risk
777,France,Female,32,2,0.0,1,1,0,136458.19,1,1,5,SILVER,917,Mid-Age,New,0,1,0,1,High,2,0.9985990635744086,High Risk
543,France,Female,36,3,0.0,2,0,0,26019.59,0,0,2,DIAMOND,255,Mid-Age,Early,0,1,1,0,Low,2,0.016663921424236033,Low Risk
506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0,4,SILVER,511,Mid-Age,Early,0,3,0,1,High,1,4.6851946212963047e-05,Low Risk
493,France,Female,46,4,0.0,2,1,0,1907.66,0,0,1,SILVER,498,Senior,Early,0,2,1,0,Low,2,0.0009118228864207021,Low Risk
652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,0,5,DIAMOND,651,Elder,Established,0,3,0,0,Medium,0,0.0008133160419129202,Low Risk
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,1,2,SILVER,852,Young,Early,1,1,1,1,Medium,3,0.854861136668064,High Risk
729,France,Male,30,9,0.0,2,1,0,151869.35,0,0,1,DIAMOND,807,Young,Established,0,2,1,0,High,2,2.959009226626271e-05,Low Risk
646,France,Female,46,4,0.0,3,1,0,93251.42,1,1,3,PLATINUM,470,Senior,Early,0,1,0,0,Medium,1,0.9994815212393816,High Risk
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0,1,DIAMOND,659,Young,Early,0,3,1,0,High,1,3.481617277112859e-06,Low Risk
647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,1,3,DIAMOND,752,Mid-Age,Early,0,2,0,0,High,0,0.7701292019164524,High Risk
808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0,1,SILVER,559,Mid-Age,Established,1,2,1,0,High,2,9.192141699752297e-05,Low Risk
524,France,Female,36,10,0.0,2,1,0,109614.57,0,0,2,GOLD,375,Mid-Age,Established,0,2,1,0,Medium,2,0.00012713928119049373,Low Risk
769,France,Male,29,8,0.0,2,1,1,172290.61,0,0,2,DIAMOND,411,Young,Established,0,3,1,0,High,1,9.241137759819688e-07,Low Risk
730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,0,4,DIAMOND,722,Mid-Age,Early,0,2,0,0,Medium,0,0.0011964665569336999,Low Risk
515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,0,1,GOLD,231,Mid-Age,Established,1,2,1,1,Medium,2,1.7806159015982617e-05,Low Risk
773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,0,5,DIAMOND,488,Mid-Age,Established,1,2,0,1,Low,1,0.002541283830631253,Low Risk
814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0,2,GOLD,965,Young,Established,0,3,1,0,High,1,2.3063539451345573e-06,Low Risk
710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,0,4,SILVER,289,Young,Established,0,1,0,0,Medium,1,0.03777855766875612,Low Risk
413,France,Male,34,9,0.0,2,0,0,6534.18,0,0,1,PLATINUM,449,Mid-Age,Established,0,1,1,0,Low,2,0.0014723352807810698,Low Risk
665,France,Female,40,6,0.0,1,1,1,161848.03,0,0,2,SILVER,651,Mid-Age,Established,0,3,1,1,High,2,2.4219740967879625e-06,Low Risk
623,France,Female,44,6,0.0,2,0,0,167162.43,0,0,2,DIAMOND,520,Mid-Age,Established,0,1,1,0,High,2,0.021801681008054727,Low Risk
738,France,Male,31,9,82674.15,1,1,0,41970.72,0,0,4,DIAMOND,234,Mid-Age,Established,0,2,0,1,Low,2,0.0009906776903857337,Low Risk
528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,0,5,SILVER,458,Mid-Age,Established,0,2,0,0,Low,1,0.002552120932298833,Low Risk
670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,1,2,GOLD,915,Elder,New,0,2,1,1,High,2,0.6205194727129703,High Risk
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,1,3,GOLD,299,Senior,Early,1,2,0,0,Low,0,0.960693567647212,High Risk
582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,0,4,GOLD,838,Mid-Age,New,0,3,0,1,Low,1,3.720739725720442e-05,Low Risk
785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,0,5,PLATINUM,786,Mid-Age,New,1,2,0,1,Low,1,0.01592006303857147,Low Risk
605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,0,3,DIAMOND,509,Mid-Age,Early,1,1,0,1,Medium,2,0.032387853594339634,Low Risk
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,1,3,DIAMOND,328,Mid-Age,Established,0,1,0,1,Medium,2,0.9929798049016663,High Risk
685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,0,4,SILVER,347,Young,Early,0,2,0,1,Low,1,0.0035854794977040697,Low Risk
538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,0,5,SILVER,534,Mid-Age,Established,1,2,0,0,Low,1,0.014944405778239994,Low Risk
562,France,Male,42,2,100238.35,1,0,0,86797.41,0,0,5,PLATINUM,709,Mid-Age,New,1,1,0,1,Medium,2,0.24298223492850343,Low Risk
675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,0,4,SILVER,749,Mid-Age,Established,1,2,0,1,Low,1,0.0007801873744973774,Low Risk
721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,1,5,PLATINUM,541,Young,Established,1,1,0,0,Medium,0,0.998738540938857,High Risk
628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,0,2,GOLD,736,Young,Established,1,3,1,0,Medium,1,6.039327344846054e-06,Low Risk
668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,0,4,SILVER,529,Mid-Age,Established,1,2,0,1,Medium,2,0.011598995270104554,Low Risk
506,France,Female,41,1,0.0,2,1,0,31766.3,0,0,4,GOLD,594,Mid-Age,New,0,2,0,0,Low,1,0.005218298149278202,Low Risk
524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,1,1,SILVER,462,Mid-Age,Established,1,1,1,1,High,3,0.9525998108151147,High Risk
699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,0,3,PLATINUM,429,Mid-Age,Early,1,2,0,0,Medium,1,0.002272815851950572,Low Risk
828,France,Male,34,8,129433.34,2,0,0,38131.77,0,0,4,SILVER,370,Mid-Age,Established,1,1,0,0,Low,1,0.11367888524596552,Low Risk
674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,0,1,PLATINUM,510,Mid-Age,Established,1,1,1,1,Medium,3,0.0018935484738154085,Low Risk
656,France,Female,39,6,0.0,2,1,0,141069.88,0,0,4,DIAMOND,638,Mid-Age,Established,0,2,0,0,High,1,0.004640305156020517,Low Risk
684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,0,1,GOLD,462,Senior,Established,1,3,1,1,High,2,2.2677882518604652e-05,Low Risk
625,France,Female,28,3,0.0,1,0,0,183646.41,0,0,4,GOLD,718,Young,Early,0,1,0,1,High,2,0.15562387101265424,Low Risk
432,France,Male,42,9,152603.45,1,1,0,110265.24,1,1,3,DIAMOND,437,Mid-Age,Established,1,1,0,1,Medium,2,0.9910859955196994,High Risk
549,France,Female,52,1,0.0,1,0,1,8636.05,1,1,4,DIAMOND,485,Senior,New,0,1,0,1,Low,1,0.9997705320835707,High Risk
625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,1,3,PLATINUM,410,Senior,,1,1,0,1,Low,2,0.9998162048787238,High Risk
828,France,Female,41,7,0.0,2,1,0,171378.77,0,0,2,PLATINUM,666,Mid-Age,Established,0,2,1,0,High,2,0.00021311417284988903,Low Risk
770,France,Male,24,9,101827.07,1,1,0,167256.35,0,0,4,GOLD,730,Young,Established,1,2,0,1,High,2,0.0009622368218816378,Low Risk
758,France,Female,34,3,0.0,2,1,1,124226.16,0,0,2,PLATINUM,375,Mid-Age,Early,0,3,1,0,Medium,1,1.9742364970806615e-06,Low Risk
795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,0,5,GOLD,411,Mid-Age,Established,1,3,0,1,Medium,1,0.00017621729841491962,Low Risk
687,France,Male,38,9,122570.87,1,1,1,35608.88,0,0,4,DIAMOND,595,Mid-Age,Established,1,3,0,1,Low,1,2.0122543370058317e-05,Low Risk
686,France,Male,25,1,0.0,2,0,1,16459.37,0,0,1,DIAMOND,578,Young,New,0,2,1,0,Low,1,2.552694883445008e-05,Low Risk
789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,0,2,PLATINUM,377,Mid-Age,Established,1,3,1,0,Medium,1,3.336109980723592e-06,Low Risk
589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,0,2,GOLD,831,Senior,Early,1,3,1,0,Low,1,0.0001006033442899542,Low Risk
461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,0,1,SILVER,497,Mid-Age,Early,0,2,1,1,High,2,0.00014478784988987604,Low Risk
637,France,Male,40,2,133463.1,1,0,1,93165.34,0,0,1,PLATINUM,374,Mid-Age,New,1,2,1,1,Medium,2,3.857988652622555e-05,Low Risk
584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,0,4,DIAMOND,814,Senior,New,1,2,0,1,Medium,2,0.04189054991950525,Low Risk
579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,1,4,GOLD,247,Mid-Age,New,1,1,0,0,Low,0,0.997767921435111,High Risk
756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,0,5,PLATINUM,965,Mid-Age,Established,1,2,0,1,High,2,0.010544977780455456,Low Risk
663,France,Male,34,7,0.0,2,1,1,180427.24,0,0,3,SILVER,912,Mid-Age,Established,0,3,0,0,High,0,6.286528421015906e-06,Low Risk
682,France,Female,43,5,125851.93,1,1,1,193318.33,0,0,4,GOLD,462,Mid-Age,Early,1,3,0,1,High,1,7.894264535031388e-05,Low Risk
793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,1,5,GOLD,883,Senior,New,0,1,0,1,High,2,0.9997031908827385,High Risk
691,France,Female,31,5,40915.55,1,1,0,126213.84,1,0,2,SILVER,402,Mid-Age,Early,0,2,1,1,Medium,3,0.00012392562533763523,Low Risk
485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,0,4,GOLD,764,Young,Early,1,3,0,1,Low,1,2.0402403839691077e-05,Low Risk
635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,0,1,PLATINUM,608,Young,Established,1,2,1,0,High,2,7.523116113527405e-05,Low Risk
650,France,Male,37,5,106967.18,1,0,0,24495.03,0,0,5,PLATINUM,652,Mid-Age,Early,1,1,0,1,Low,2,0.20206794218134064,Low Risk
735,France,Male,44,9,120681.63,1,1,0,74836.34,0,0,2,SILVER,520,Mid-Age,Established,1,2,1,1,Medium,3,0.00011946983149691127,Low Risk
416,France,Male,32,0,0.0,2,0,1,878.87,0,0,5,GOLD,884,Mid-Age,,0,2,0,0,Low,0,0.0030249049649521322,Low Risk
754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,0,1,SILVER,800,Mid-Age,Established,0,2,1,0,Medium,2,3.888745203269535e-05,Low Risk
535,France,Female,48,9,0.0,1,1,0,149892.79,1,1,4,GOLD,697,Senior,Established,0,1,0,1,High,2,0.9996388494242057,High Risk
716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,0,2,SILVER,427,Mid-Age,Established,0,2,1,0,High,2,8.166138394483617e-05,Low Risk
539,France,Male,37,2,127609.59,1,1,0,98646.22,0,0,1,DIAMOND,620,Mid-Age,New,1,2,1,1,Medium,3,4.752635359326149e-05,Low Risk
614,France,Female,43,6,0.0,2,1,1,109041.53,0,0,1,PLATINUM,318,Mid-Age,Established,0,3,1,0,Medium,1,1.1872103265039484e-06,Low Risk
706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,1,1,GOLD,701,Senior,Established,0,1,1,1,Low,3,0.9726109320828368,High Risk
758,France,Female,33,7,0.0,2,0,0,82996.47,0,0,4,PLATINUM,953,Mid-Age,Established,0,1,0,0,Medium,1,0.11503148022979572,Low Risk
586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,0,5,PLATINUM,635,Young,New,0,3,0,0,Medium,0,5.6922666370928565e-05,Low Risk
646,France,Female,73,6,97259.25,1,0,1,104719.66,0,0,1,PLATINUM,250,Elder,Established,1,2,1,1,Medium,2,0.0008897277865339583,Low Risk
631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,0,3,SILVER,662,Mid-Age,Early,1,1,0,1,Medium,2,0.19344611647665472,Low Risk
717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,0,2,GOLD,666,Young,Established,1,2,1,1,Medium,2,6.822914515883536e-05,Low Risk
684,France,Male,30,2,0.0,2,1,0,83473.82,0,0,4,DIAMOND,699,Young,New,0,2,0,0,Medium,1,0.001553605349260704,Low Risk
800,France,Female,49,7,108007.36,1,0,0,47125.11,0,0,3,PLATINUM,855,Senior,Established,1,1,0,1,Low,2,0.48383358122625975,Medium Risk
721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,0,5,SILVER,534,Mid-Age,New,0,3,0,0,Medium,0,7.48882347412305e-05,Low Risk
683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,1,1,PLATINUM,388,Young,,1,1,1,1,Low,3,0.8325549047772459,High Risk
660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,0,5,GOLD,612,Mid-Age,Established,1,3,0,0,High,0,9.993771308667627e-05,Low Risk
704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,1,2,PLATINUM,801,Young,Established,1,1,1,1,High,3,0.9754862233765808,High Risk
615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,0,1,PLATINUM,561,Mid-Age,Established,1,2,1,1,High,3,6.729552234296245e-05,Low Risk
667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,1,5,PLATINUM,308,Mid-Age,New,0,1,0,0,Low,1,0.9988717105736377,High Risk
682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,0,5,SILVER,643,Young,Established,0,1,0,0,Low,1,0.27614587253633893,Low Risk
484,France,Female,29,4,130114.39,1,1,0,164017.89,0,0,1,GOLD,249,Young,Early,1,2,1,1,High,3,0.00011722739067450508,Low Risk
628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,1,2,SILVER,818,Young,Early,0,1,1,0,High,2,0.966751304045733,High Risk
480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,1,1,GOLD,775,Mid-Age,Established,1,1,1,1,Low,3,0.9305711293353108,High Risk
578,France,Male,30,4,169462.09,1,1,0,112187.11,0,1,5,DIAMOND,872,Young,Early,1,1,0,1,Medium,2,0.9983341139171151,High Risk
