creditscore,geography,gender,age,tenure,balance,numofproducts,has_credit_card,is_active_member,estimatedsalary,churn,complain,satisfaction_score,card_type,point_earned,age_group,tenure_group,high_balance_flag,engagement_score,low_satisfaction_flag,single_product_flag,salary_segment,risk_score,churn_probability,risk_segment,clv,retention_priority
411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0,2,GOLD,343,Young,,0,3,1,0,Low,1,1.673673958450533e-06,Low Risk,65045.490999999995,Low Priority
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,1,3,DIAMOND,298,Mid-Age,Early,0,1,0,0,High,1,0.9964809409021468,High Risk,14046.938000000002,Low Priority
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0,5,SILVER,628,Mid-Age,Established,0,2,0,1,High,1,0.0028050837575437,Low Risk,100984.891,Low Priority
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,0,3,GOLD,611,Mid-Age,Established,1,1,0,0,Medium,1,0.119776390692636,Low Risk,118302.42099999999,Low Priority
520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0,2,SILVER,922,Mid-Age,Established,0,3,1,0,Low,1,2.2548064431098133e-06,Low Risk,3441.0550000000003,Low Priority
722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0,5,PLATINUM,276,Young,Established,0,3,0,0,High,0,5.5471329418823706e-05,Low Risk,14203.307,Low Priority
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,1,1,DIAMOND,877,Mid-Age,,1,1,1,1,Low,3,0.968250509532287,High Risk,137046.339,Low Priority
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,0,4,SILVER,471,Mid-Age,Early,1,2,0,1,Medium,1,0.0009562060694511,Low Risk,156666.907,Low Priority
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0,2,GOLD,994,Mid-Age,Established,0,2,1,1,Medium,2,2.7195887301968407e-05,Low Risk,86393.945,Low Priority
850,France,Male,36,7,0.0,1,1,1,40812.9,0,0,3,GOLD,944,Mid-Age,Established,0,3,0,1,Low,1,4.58105632010151e-06,Low Risk,4081.2900000000004,Low Priority
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0,5,GOLD,419,Mid-Age,Established,0,2,0,0,High,0,0.0111846231246004,Low Risk,88156.88399999999,Low Priority
472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0,4,DIAMOND,545,Mid-Age,Early,0,2,0,1,Medium,2,0.0011535621123216,Low Risk,7015.4220000000005,Low Priority
465,France,Female,51,8,122522.32,1,0,0,181297.65,1,1,5,SILVER,828,Senior,Established,1,0,0,1,High,2,0.9999988979871438,High Risk,140652.08500000002,Critical Priority
556,France,Female,61,2,117419.35,1,1,1,94153.83,0,0,3,PLATINUM,789,Elder,New,1,3,0,1,Medium,1,0.0001333267648879,Low Risk,126834.73300000001,Low Priority
834,France,Female,49,2,131394.56,1,0,0,194365.76,1,1,2,GOLD,567,Senior,New,1,0,1,1,High,3,0.9999567029793648,High Risk,150831.136,Critical Priority
660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0,1,PLATINUM,884,Elder,Early,1,3,1,1,High,2,6.3540962193741216e-06,Low Risk,171764.949,Low Priority
776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0,1,SILVER,296,Mid-Age,Early,1,3,1,0,Medium,1,3.014701150512025e-06,Low Risk,122072.876,Low Priority
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,1,3,DIAMOND,779,Young,Established,1,2,0,1,Medium,1,0.7835346461273835,High Risk,124016.491,Low Priority
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,1,1,SILVER,730,Mid-Age,Established,1,2,1,1,Medium,2,0.2307777534830423,Low Risk,149606.08,Low Priority
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,0,3,DIAMOND,960,Mid-Age,New,1,2,0,1,Medium,1,0.0014695971953074,Low Risk,112479.193,Low Priority
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0,1,SILVER,268,Mid-Age,New,1,2,1,0,High,2,0.0003922838740243,Low Risk,123179.132,Low Priority
698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0,4,SILVER,829,Mid-Age,Established,1,2,0,0,High,1,0.0065521977961027,Low Risk,136169.286,Low Priority
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,0,3,SILVER,665,Mid-Age,Early,1,1,0,0,Medium,1,0.1360468356702092,Low Risk,154693.427,Low Priority
788,France,Female,33,5,0.0,2,0,0,116978.19,0,0,3,GOLD,982,Mid-Age,Early,0,1,0,0,Medium,1,0.0591305925731952,Low Risk,11697.819000000001,Low Priority
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,1,3,SILVER,343,Mid-Age,Established,1,0,0,1,High,2,0.9999484826892332,High Risk,141966.064,Critical Priority
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,1,2,DIAMOND,225,Mid-Age,New,1,1,1,1,Low,3,0.9810876244266236,High Risk,102497.196,Low Priority
619,France,Male,43,1,125211.92,1,1,1,113410.49,0,0,5,SILVER,657,Mid-Age,New,1,3,0,1,Medium,1,8.468497290000315e-05,Low Risk,136552.969,Low Priority
656,France,Male,45,5,127864.4,1,1,0,87107.57,0,0,2,PLATINUM,221,Mid-Age,Early,1,2,1,1,Medium,3,0.000149433334644,Low Risk,136575.157,Low Priority
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,0,2,PLATINUM,406,Young,,0,1,1,1,Low,3,0.0091111282860322,Low Risk,80449.575,Low Priority
511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,1,5,SILVER,549,Elder,Early,0,1,0,1,Low,2,0.9998512574587494,High Risk,164.311,Low Priority
614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0,4,PLATINUM,954,Senior,Early,0,3,0,1,Low,1,0.0001713089436453,Low Risk,45363.448,Low Priority
742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,0,4,GOLD,823,Mid-Age,Early,1,1,0,1,Medium,2,0.1903011790665355,Low Risk,145307.957,Low Priority
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,0,5,DIAMOND,769,Young,Established,1,1,0,0,Medium,1,0.5774232000243296,Medium Risk,164978.362,High Priority
555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0,5,PLATINUM,481,Mid-Age,New,0,1,0,0,High,1,0.1610842232736224,Low Risk,73964.503,Low Priority
684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0,4,SILVER,903,Senior,Established,0,3,0,1,Medium,1,0.0001566046340711,Low Risk,88646.996,Low Priority
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,0,3,PLATINUM,882,Young,Early,1,3,0,1,Medium,1,1.4068381301288476e-05,Low Risk,118450.43699999999,Low Priority
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,1,5,GOLD,379,Mid-Age,Established,1,2,0,0,Low,0,0.9809941365097876,High Risk,172607.296,Critical Priority
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,1,3,PLATINUM,469,Mid-Age,New,1,1,0,1,Medium,2,0.9976540224781846,High Risk,112676.19099999999,Low Priority
735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,1,3,PLATINUM,683,Mid-Age,Established,1,2,0,0,High,0,0.7686079243653694,High Risk,142847.338,Critical Priority
661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,1,1,GOLD,770,Mid-Age,Early,1,1,1,0,Medium,1,0.9603875612561836,High Risk,162091.215,Critical Priority
675,France,Female,21,8,98373.26,1,1,0,18203.0,0,0,5,SILVER,985,Young,Established,1,2,0,1,Low,2,0.0047365022300332,Low Risk,100193.56,Low Priority
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,1,4,GOLD,725,Senior,New,1,1,0,0,Low,1,0.9999539794853264,High Risk,136582.826,Low Priority
813,France,Male,29,6,0.0,1,1,0,33953.87,0,0,3,PLATINUM,259,Young,Established,0,2,0,1,Low,2,0.0004326167076528,Low Risk,3395.3870000000006,Low Priority
657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,0,2,GOLD,979,Mid-Age,,1,2,1,1,Low,2,0.0002037002202439,Low Risk,168027.535,Low Priority
604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,0,2,SILVER,988,Young,Early,1,3,1,0,Low,1,6.985023304141591e-06,Low Risk,163623.521,Low Priority
519,France,Male,36,9,0.0,2,0,1,145562.4,0,0,2,PLATINUM,833,Mid-Age,Established,0,2,1,0,High,1,4.542354152862986e-05,Low Risk,14556.24,Low Priority
735,France,Female,21,1,178718.19,2,1,0,22388.0,0,0,1,PLATINUM,527,Young,New,1,2,1,0,Low,2,9.622551869955414e-05,Low Risk,180956.99,Low Priority
664,France,Male,55,8,0.0,2,1,1,139161.64,0,0,5,SILVER,220,Senior,Established,0,3,0,0,High,0,0.0006967019110598,Low Risk,13916.164000000002,Low Priority
678,France,Female,32,9,0.0,1,1,1,148210.64,0,0,4,GOLD,983,Mid-Age,Established,0,3,0,1,High,1,1.9049594389258797e-05,Low Risk,14821.064000000002,Low Priority
757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0,3,SILVER,582,Mid-Age,Early,0,2,0,1,High,1,0.0003178411151173,Low Risk,96677.183,Low Priority
416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,0,3,SILVER,281,Mid-Age,Established,1,2,0,0,Medium,1,0.0054875859785457,Low Risk,132019.821,Low Priority
665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0,3,DIAMOND,798,Mid-Age,New,0,1,0,0,High,1,0.1244685727198187,Low Risk,113786.90599999999,Low Priority
777,France,Female,32,2,0.0,1,1,0,136458.19,1,1,5,SILVER,917,Mid-Age,New,0,1,0,1,High,2,0.9985990635744086,High Risk,13645.819000000001,Low Priority
543,France,Female,36,3,0.0,2,0,0,26019.59,0,0,2,DIAMOND,255,Mid-Age,Early,0,1,1,0,Low,2,0.016663921424236,Low Risk,2601.9590000000003,Low Priority
506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0,4,SILVER,511,Mid-Age,Early,0,3,0,1,High,1,4.6851946212963047e-05,Low Risk,106231.149,Low Priority
493,France,Female,46,4,0.0,2,1,0,1907.66,0,0,1,SILVER,498,Senior,Early,0,2,1,0,Low,2,0.0009118228864207,Low Risk,190.76600000000002,Low Priority
652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,0,5,DIAMOND,651,Elder,Established,0,3,0,0,Medium,0,0.0008133160419129,Low Risk,11467.575,Low Priority
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,1,2,SILVER,852,Young,Early,1,1,1,1,Medium,3,0.854861136668064,High Risk,134546.155,Low Priority
729,France,Male,30,9,0.0,2,1,0,151869.35,0,0,1,DIAMOND,807,Young,Established,0,2,1,0,High,2,2.959009226626271e-05,Low Risk,15186.935000000001,Low Priority
646,France,Female,46,4,0.0,3,1,0,93251.42,1,1,3,PLATINUM,470,Senior,Early,0,1,0,0,Medium,1,0.9994815212393816,High Risk,9325.142,Low Priority
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0,1,DIAMOND,659,Young,Early,0,3,1,0,High,1,3.481617277112859e-06,Low Risk,97302.806,Low Priority
647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,1,3,DIAMOND,752,Mid-Age,Early,0,2,0,0,High,0,0.7701292019164524,High Risk,17420.522,Low Priority
808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0,1,SILVER,559,Mid-Age,Established,1,2,1,0,High,2,9.192141699752295e-05,Low Risk,133339.796,Low Priority
524,France,Female,36,10,0.0,2,1,0,109614.57,0,0,2,GOLD,375,Mid-Age,Established,0,2,1,0,Medium,2,0.0001271392811904,Low Risk,10961.457000000002,Low Priority
769,France,Male,29,8,0.0,2,1,1,172290.61,0,0,2,DIAMOND,411,Young,Established,0,3,1,0,High,1,9.241137759819688e-07,Low Risk,17229.060999999998,Low Priority
730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,0,4,DIAMOND,722,Mid-Age,Early,0,2,0,0,Medium,0,0.0011964665569336,Low Risk,8598.247000000001,Low Priority
515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,0,1,GOLD,231,Mid-Age,Established,1,2,1,1,Medium,2,1.7806159015982617e-05,Low Risk,188401.728,Low Priority
773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,0,5,DIAMOND,488,Mid-Age,Established,1,2,0,1,Low,1,0.0025412838306312,Low Risk,109286.965,Low Priority
814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0,2,GOLD,965,Young,Established,0,3,1,0,High,1,2.3063539451345573e-06,Low Risk,116814.01299999999,Low Priority
710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,0,4,SILVER,289,Young,Established,0,1,0,0,Medium,1,0.0377785576687561,Low Risk,9964.504,Low Priority
413,France,Male,34,9,0.0,2,0,0,6534.18,0,0,1,PLATINUM,449,Mid-Age,Established,0,1,1,0,Low,2,0.001472335280781,Low Risk,653.4180000000001,Low Priority
665,France,Female,40,6,0.0,1,1,1,161848.03,0,0,2,SILVER,651,Mid-Age,Established,0,3,1,1,High,2,2.4219740967879625e-06,Low Risk,16184.803,Low Priority
623,France,Female,44,6,0.0,2,0,0,167162.43,0,0,2,DIAMOND,520,Mid-Age,Established,0,1,1,0,High,2,0.0218016810080547,Low Risk,16716.243,Low Priority
738,France,Male,31,9,82674.15,1,1,0,41970.72,0,0,4,DIAMOND,234,Mid-Age,Established,0,2,0,1,Low,2,0.0009906776903857,Low Risk,86871.222,Low Priority
528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,0,5,SILVER,458,Mid-Age,Established,0,2,0,0,Low,1,0.0025521209322988,Low Risk,6053.656,Low Priority
670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,1,2,GOLD,915,Elder,New,0,2,1,1,High,2,0.6205194727129703,High Risk,17765.568,Low Priority
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,1,3,GOLD,299,Senior,Early,1,2,0,0,Low,0,0.960693567647212,High Risk,110171.729,Low Priority
582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,0,4,GOLD,838,Mid-Age,New,0,3,0,1,Low,1,3.720739725720442e-05,Low Risk,89944.07299999999,Low Priority
785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,0,5,PLATINUM,786,Mid-Age,New,1,2,0,1,Low,1,0.0159200630385714,Low Risk,103504.50200000001,Low Priority
605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,0,3,DIAMOND,509,Mid-Age,Early,1,1,0,1,Medium,2,0.0323878535943396,Low Risk,157279.079,Low Priority
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,1,3,DIAMOND,328,Mid-Age,Established,0,1,0,1,Medium,2,0.9929798049016664,High Risk,102778.876,Low Priority
685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,0,4,SILVER,347,Young,Early,0,2,0,1,Low,1,0.003585479497704,Low Risk,96845.098,Low Priority
538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,0,5,SILVER,534,Mid-Age,Established,1,2,0,0,Low,1,0.0149444057782399,Low Risk,110778.22600000001,Low Priority
562,France,Male,42,2,100238.35,1,0,0,86797.41,0,0,5,PLATINUM,709,Mid-Age,New,1,1,0,1,Medium,2,0.2429822349285034,Low Risk,108918.091,Low Priority
675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,0,4,SILVER,749,Mid-Age,Established,1,2,0,1,Low,1,0.0007801873744973,Low Risk,108489.982,Low Priority
721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,1,5,PLATINUM,541,Young,Established,1,1,0,0,Medium,0,0.998738540938857,High Risk,164605.63400000002,Critical Priority
628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,0,2,GOLD,736,Young,Established,1,3,1,0,Medium,1,6.039327344846054e-06,Low Risk,139768.203,Low Priority
668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,0,4,SILVER,529,Mid-Age,Established,1,2,0,1,Medium,2,0.0115989952701045,Low Risk,179428.229,Low Priority
506,France,Female,41,1,0.0,2,1,0,31766.3,0,0,4,GOLD,594,Mid-Age,New,0,2,0,0,Low,1,0.0052182981492782,Low Risk,3176.63,Low Priority
524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,1,1,SILVER,462,Mid-Age,Established,1,1,1,1,High,3,0.9525998108151148,High Risk,127791.16900000001,Low Priority
699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,0,3,PLATINUM,429,Mid-Age,Early,1,2,0,0,Medium,1,0.0022728158519505,Low Risk,197257.258,Low Priority
828,France,Male,34,8,129433.34,2,0,0,38131.77,0,0,4,SILVER,370,Mid-Age,Established,1,1,0,0,Low,1,0.1136788852459655,Low Risk,133246.517,Low Priority
674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,0,1,PLATINUM,510,Mid-Age,Established,1,1,1,1,Medium,3,0.0018935484738154,Low Risk,130206.515,Low Priority
656,France,Female,39,6,0.0,2,1,0,141069.88,0,0,4,DIAMOND,638,Mid-Age,Established,0,2,0,0,High,1,0.0046403051560205,Low Risk,14106.988000000001,Low Priority
684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,0,1,GOLD,462,Senior,Established,1,3,1,1,High,2,2.267788251860465e-05,Low Risk,146197.356,Low Priority
625,France,Female,28,3,0.0,1,0,0,183646.41,0,0,4,GOLD,718,Young,Early,0,1,0,1,High,2,0.1556238710126542,Low Risk,18364.641,Low Priority
432,France,Male,42,9,152603.45,1,1,0,110265.24,1,1,3,DIAMOND,437,Mid-Age,Established,1,1,0,1,Medium,2,0.9910859955196994,High Risk,163629.97400000002,Critical Priority
549,France,Female,52,1,0.0,1,0,1,8636.05,1,1,4,DIAMOND,485,Senior,New,0,1,0,1,Low,1,0.9997705320835708,High Risk,863.605,Low Priority
625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,1,3,PLATINUM,410,Senior,,1,1,0,1,Low,2,0.9998162048787238,High Risk,153189.648,Critical Priority
828,France,Female,41,7,0.0,2,1,0,171378.77,0,0,2,PLATINUM,666,Mid-Age,Established,0,2,1,0,High,2,0.0002131141728498,Low Risk,17137.877,Low Priority
770,France,Male,24,9,101827.07,1,1,0,167256.35,0,0,4,GOLD,730,Young,Established,1,2,0,1,High,2,0.0009622368218816,Low Risk,118552.70500000002,Low Priority
758,France,Female,34,3,0.0,2,1,1,124226.16,0,0,2,PLATINUM,375,Mid-Age,Early,0,3,1,0,Medium,1,1.974236497080661e-06,Low Risk,12422.616000000002,Low Priority
795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,0,5,GOLD,411,Mid-Age,Established,1,3,0,1,Medium,1,0.0001762172984149,Low Risk,142355.951,Low Priority
687,France,Male,38,9,122570.87,1,1,1,35608.88,0,0,4,DIAMOND,595,Mid-Age,Established,1,3,0,1,Low,1,2.012254337005832e-05,Low Risk,126131.758,Low Priority
686,France,Male,25,1,0.0,2,0,1,16459.37,0,0,1,DIAMOND,578,Young,New,0,2,1,0,Low,1,2.552694883445008e-05,Low Risk,1645.937,Low Priority
789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,0,2,PLATINUM,377,Mid-Age,Established,1,3,1,0,Medium,1,3.336109980723592e-06,Low Risk,137269.568,Low Priority
589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,0,2,GOLD,831,Senior,Early,1,3,1,0,Low,1,0.0001006033442899,Low Risk,148389.17299999998,Low Priority
461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,0,1,SILVER,497,Mid-Age,Early,0,2,1,1,High,2,0.0001447878498898,Low Risk,80442.35800000001,Low Priority
637,France,Male,40,2,133463.1,1,0,1,93165.34,0,0,1,PLATINUM,374,Mid-Age,New,1,2,1,1,Medium,2,3.857988652622555e-05,Low Risk,142779.63400000002,Low Priority
584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,0,4,DIAMOND,814,Senior,New,1,2,0,1,Medium,2,0.0418905499195052,Low Risk,220662.325,Low Priority
579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,1,4,GOLD,247,Mid-Age,New,1,1,0,0,Low,0,0.997767921435111,High Risk,130349.443,Low Priority
756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,0,5,PLATINUM,965,Mid-Age,Established,1,2,0,1,High,2,0.0105449777804554,Low Risk,156406.47999999998,Low Priority
663,France,Male,34,7,0.0,2,1,1,180427.24,0,0,3,SILVER,912,Mid-Age,Established,0,3,0,0,High,0,6.286528421015906e-06,Low Risk,18042.724,Low Priority
682,France,Female,43,5,125851.93,1,1,1,193318.33,0,0,4,GOLD,462,Mid-Age,Early,1,3,0,1,High,1,7.894264535031388e-05,Low Risk,145183.76299999998,Low Priority
793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,1,5,GOLD,883,Senior,New,0,1,0,1,High,2,0.9997031908827384,High Risk,15912.382000000001,Low Priority
691,France,Female,31,5,40915.55,1,1,0,126213.84,1,0,2,SILVER,402,Mid-Age,Early,0,2,1,1,Medium,3,0.0001239256253376,Low Risk,53536.934,Low Priority
485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,0,4,GOLD,764,Young,Early,1,3,0,1,Low,1,2.040240383969108e-05,Low Risk,118571.37,Low Priority
635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,0,1,PLATINUM,608,Young,Established,1,2,1,0,High,2,7.523116113527405e-05,Low Risk,152404.491,Low Priority
650,France,Male,37,5,106967.18,1,0,0,24495.03,0,0,5,PLATINUM,652,Mid-Age,Early,1,1,0,1,Low,2,0.2020679421813406,Low Risk,109416.68299999999,Low Priority
735,France,Male,44,9,120681.63,1,1,0,74836.34,0,0,2,SILVER,520,Mid-Age,Established,1,2,1,1,Medium,3,0.0001194698314969,Low Risk,128165.26400000001,Low Priority
416,France,Male,32,0,0.0,2,0,1,878.87,0,0,5,GOLD,884,Mid-Age,,0,2,0,0,Low,0,0.0030249049649521,Low Risk,87.887,Low Priority
754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,0,1,SILVER,800,Mid-Age,Established,0,2,1,0,Medium,2,3.888745203269535e-05,Low Risk,8952.075,Low Priority
